img1,img2,label
142_ChristopherPlummer_5352_A_51.jpg,142_ChristopherPlummer_5354_A_56.jpg,1
251_PeggyLipton_8968_A_58.jpg,251_PeggyLipton_8973_A_63.jpg,1
207_LarryEllison_7841_A_49.jpg,132_JosephCotten_4969_A_54.jpg,0
412_AudreyHepburn_15325_A_23.jpg,412_AudreyHepburn_15354_A_33.jpg,1
212_BerryGordy_7973_A_82.jpg,212_BerryGordy_7994_A_62.jpg,1
406_AnneBancroft_15066_A_39.jpg,406_AnneBancroft_15082_A_69.jpg,1
349_zaGabor_12747_A_23.jpg,396_ShelleyWinters_14639_A_28.jpg,0
5_AnthonyPerkins_210_A_37.jpg,261_FidelCastro_9353_A_32.jpg,0
256_AnitaEkberg_9150_A_31.jpg,427_JoanneWoodward_15894_A_36.jpg,0
409_SimoneSignoret_15206_A_43.jpg,409_SimoneSignoret_15210_A_23.jpg,1
338_MyrnaLoy_12277_A_30.jpg,389_AnjelicaHuston_14345_A_35.jpg,0
392_ShirleyJones_14473_A_29.jpg,392_ShirleyJones_14493_A_59.jpg,1
121_AlainDelon_4545_A_70.jpg,121_AlainDelon_4552_A_65.jpg,1
9_JohnTravolta_399_A_30.jpg,47_CliffRobertson_1819_A_35.jpg,0
254_RoyScheider_9073_A_46.jpg,254_RoyScheider_9087_A_66.jpg,1
83_AnthonyQuayle_3159_A_47.jpg,179_SteveMartin_6821_A_42.jpg,0
414_BoDerek_15413_A_27.jpg,414_BoDerek_15428_A_47.jpg,1
115_Scott_4296_A_45.jpg,305_JenniferAniston_10918_A_40.jpg,0
89_franksinatra_3373_A_38.jpg,225_StephenHawking_8286_A_43.jpg,0
112_DerekJacobi_4195_A_37.jpg,373_PiaLindstrom_13715_A_32.jpg,0
423_KathrynHays_15766_A_37.jpg,368_VivienLeigh_13551_A_42.jpg,0
385_CyndiLauper_14197_A_29.jpg,185_MarcelloMastroianni_7071_A_24.jpg,0
121_AlainDelon_4545_A_70.jpg,206_ConradHilton_7825_A_65.jpg,0
212_BerryGordy_7976_A_40.jpg,112_DerekJacobi_4193_A_35.jpg,0
176_petersellers_6684_A_48.jpg,176_petersellers_6713_A_38.jpg,1
119_AlbertoSordi_4463_A_31.jpg,119_AlbertoSordi_4468_A_36.jpg,1
329_MargaretO'Brien_11882_A_28.jpg,267_TheodoreRoosevelt_9616_A_23.jpg,0
335_JaneFonda_12108_A_25.jpg,9_JohnTravolta_389_A_20.jpg,0
140_ClintEastwood_5268_A_35.jpg,140_ClintEastwood_5283_A_65.jpg,1
182_YvesMontand_6959_A_25.jpg,416_RitaHayworth_15476_A_20.jpg,0
132_JosephCotten_4957_A_40.jpg,132_JosephCotten_4972_A_60.jpg,1
338_MyrnaLoy_12227_A_40.jpg,338_MyrnaLoy_12268_A_70.jpg,1
170_BenGazzara_6443_A_22.jpg,170_BenGazzara_6460_A_42.jpg,1
431_SigourneyWeaver_16044_A_39.jpg,431_SigourneyWeaver_16061_A_59.jpg,1
120_RodTaylor_4511_A_35.jpg,168_RutgerHauer_6380_A_40.jpg,0
31_LamprosKonstantaras_1235_A_59.jpg,31_LamprosKonstantaras_1249_A_54.jpg,1
303_JaneAsher_10811_A_8.jpg,303_JaneAsher_10821_A_18.jpg,1
303_JaneAsher_10817_A_16.jpg,299_LindaEvans_10633_A_21.jpg,0
386_MegRyan_14230_A_24.jpg,386_MegRyan_14240_A_34.jpg,1
181_StacyKeach_6914_A_17.jpg,58_ArnoldSchwarzenegger_2268_A_22.jpg,0
328_LilliPalmer_11836_A_36.jpg,152_JeffGoldblum_5743_A_41.jpg,0
208_HenryFord_7875_A_60.jpg,208_HenryFord_7881_A_30.jpg,1
197_MikisTheodorakis_7544_A_50.jpg,197_MikisTheodorakis_7547_A_40.jpg,1
38_VittorioGassman_1519_A_31.jpg,38_VittorioGassman_1523_A_36.jpg,1
400_CybillShepherd_14830_A_53.jpg,341_DanielleDarrieux_12374_A_58.jpg,0
257_angelamerkel_9204_A_14.jpg,257_angelamerkel_9220_A_44.jpg,1
444_PatriciaNeal_16556_A_39.jpg,444_PatriciaNeal_16569_A_59.jpg,1
190_ChevyChase_7283_A_33.jpg,94_HerbertLom_3537_A_38.jpg,0
234_ErwinSchrodinger_8508_A_50.jpg,434_AnnetteBening_16165_A_45.jpg,0
353_DonnaReed_12930_A_27.jpg,353_DonnaReed_12947_A_47.jpg,1
137_BillNighy_5142_A_36.jpg,351_MarleneDietrich_12841_A_31.jpg,0
366_ElsaMartinelli_13464_A_26.jpg,372_KimNovak_13680_A_21.jpg,0
356_LindsayWagner_13050_A_24.jpg,8_GeorgePeppard_311_A_29.jpg,0
69_KirkDouglas_2703_A_33.jpg,297_BetteMidler_10599_A_38.jpg,0
142_ChristopherPlummer_5354_A_56.jpg,142_ChristopherPlummer_5362_A_76.jpg,1
369_BettyGrable_13572_A_18.jpg,369_BettyGrable_13595_A_38.jpg,1
321_DaliahLavi_11516_A_25.jpg,240_CarlSagan_8657_A_20.jpg,0
402_ClaudiaCardinale_14891_A_27.jpg,199_michaeljackson_7600_A_22.jpg,0
201_Pele_7674_A_58.jpg,201_Pele_7681_A_38.jpg,1
397_GoldieHawn_14693_A_37.jpg,159_HorstBuchholz_6026_A_32.jpg,0
287_bertrandrussell_10220_A_65.jpg,287_bertrandrussell_10228_A_35.jpg,1
85_MichaelDouglas_3213_A_35.jpg,85_MichaelDouglas_3218_A_65.jpg,1
117_AnthonyHopkins_4366_A_30.jpg,240_CarlSagan_8679_A_25.jpg,0
136_HelmutBerger_5114_A_34.jpg,54_VictorMature_2129_A_39.jpg,0
251_PeggyLipton_8947_A_25.jpg,422_MonicaVitti_15709_A_30.jpg,0
63_ErrolFlynn_2480_A_28.jpg,19_RomanPolanski_756_A_33.jpg,0
307_GlendaJackson_10975_A_35.jpg,347_AngelaLansbury_12648_A_30.jpg,0
410_JuneAllyson_15241_A_30.jpg,410_JuneAllyson_15271_A_60.jpg,1
349_zaGabor_12749_A_31.jpg,40_JohnCassavetes_1592_A_36.jpg,0
16_JohnForsythe_613_A_37.jpg,16_JohnForsythe_621_A_47.jpg,1
329_MargaretO'Brien_11891_A_65.jpg,329_MargaretO'Brien_11900_A_75.jpg,1
359_ElkeSommer_13174_A_18.jpg,426_AudreyDalton_15859_A_23.jpg,0
273_AdolfHitler_9820_A_54.jpg,273_AdolfHitler_9821_A_34.jpg,1
328_LilliPalmer_11840_A_40.jpg,423_KathrynHays_15764_A_35.jpg,0
442_VanessaRedgrave_16464_A_34.jpg,442_VanessaRedgrave_16489_A_64.jpg,1
34_MichelPiccoli_1343_A_31.jpg,382_MaureenO'Hara_14076_A_26.jpg,0
285_GiorgosSeferis_10191_A_65.jpg,290_GarciaMarquez_10304_A_70.jpg,0
234_ErwinSchrodinger_8510_A_55.jpg,234_ErwinSchrodinger_8530_A_50.jpg,1
348_DeborahKerr_12717_A_22.jpg,348_DeborahKerr_12738_A_42.jpg,1
359_ElkeSommer_13183_A_27.jpg,359_ElkeSommer_13192_A_37.jpg,1
303_JaneAsher_10819_A_17.jpg,86_JohnDerek_3253_A_22.jpg,0
95_denzelwashington_3583_A_55.jpg,377_ImeldaStaunton_13887_A_50.jpg,0
307_GlendaJackson_10969_A_32.jpg,11_PatrickSwayze_436_A_27.jpg,0
116_DonJohnson_4324_A_25.jpg,116_DonJohnson_4351_A_55.jpg,1
43_AnthonyAndrews_1678_A_35.jpg,43_AnthonyAndrews_1692_A_55.jpg,1
107_RexHarrison_3988_A_31.jpg,107_RexHarrison_4013_A_61.jpg,1
92_MichaelCaine_3471_A_62.jpg,314_GreerGarson_11273_A_57.jpg,0
197_MikisTheodorakis_7532_A_52.jpg,197_MikisTheodorakis_7541_A_42.jpg,1
326_ScottThomas_11770_A_40.jpg,122_JeffreyJones_4584_A_45.jpg,0
311_JaneRussell_11130_A_21.jpg,311_JaneRussell_11133_A_26.jpg,1
175_CharlesGrodin_6654_A_45.jpg,211_AristotleOnassis_7931_A_50.jpg,0
248_Montalcini_8835_A_73.jpg,388_TylerMoore_14327_A_68.jpg,0
208_HenryFord_7876_A_30.jpg,208_HenryFord_7879_A_50.jpg,1
67_BruceWillis_2623_A_30.jpg,38_VittorioGassman_1522_A_35.jpg,0
198_PaulAnka_7584_A_55.jpg,198_PaulAnka_7594_A_50.jpg,1
396_ShelleyWinters_14661_A_48.jpg,344_MarieSaint_12528_A_53.jpg,0
60_ClintWalker_2357_A_29.jpg,60_ClintWalker_2375_A_49.jpg,1
22_NickNolte_898_A_66.jpg,317_KathyBates_11383_A_61.jpg,0
